Title,type,country,date_added,release_year,rating,duration,description,IMDb,Genre,Avg Rating per Genre,Growth Outcome
14 Blades,Movie,"Hong Kong, China, Singapore",2019-04-03,2010,R,113 min,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",6.3,Action & Adventure,6.14,0
14 Cameras,Movie,United States,2018-10-27,2018,TV-MA,89 min,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",4.5,Horror,5.52,0
14 Minutes from Earth,Movie,United States,2019-02-01,2016,TV-MA,84 min,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,5.4,Documentaries,7.03,0
18 Presents,Movie,Italy,2020-05-08,2020,TV-MA,114 min,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,6.7,Drama,6.57,0
1898: Our Last Men in the Philippines,Movie,Spain,2017-06-02,2016,R,130 min,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",6.5,Drama,6.57,0
2 States,Movie,India,2018-08-04,2014,TV-PG,143 min,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",6.9,Comedy,6.34,0
20 Minutes,TV Show,Turkey,2017-08-15,2013,TV-MA,1 Season,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",6.8,Crime,7.41,1
2015 Dream Concert,Movie,South Korea,2017-04-28,2015,TV-PG,107 min,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",5.7,Musicals,7.38,0
20th Century Women,Movie,United States,2019-06-28,2016,R,119 min,"In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",7.3,Drama,6.57,0
21 Thunder,TV Show,Canada,2018-03-01,2017,TV-MA,1 Season,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",6.2,Crime,7.41,1
24 Hours to Live,Movie,"South Africa, China, United States",2018-04-07,2017,R,93 min,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",5.7,Action & Adventure,6.14,0
25 Kille,Movie,India,2018-10-01,2016,TV-14,140 min,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",5.9,Drama,6.57,0
26 Years,Movie,South Korea,2017-10-01,2012,TV-MA,135 min,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",6.3,Drama,6.57,0
3 Generations,Movie,United States,2017-08-28,2015,PG-13,92 min,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",5.9,Drama,6.57,0
3 Heroines,Movie,Indonesia,2019-01-05,2016,TV-PG,124 min,Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,6.5,Drama,6.57,0
3 Idiots,Movie,India,2019-08-01,2009,PG-13,164 min,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",8.4,Comedy,6.34,0
3 Seconds Divorce,Movie,Canada,2019-06-15,2018,TV-PG,53 min,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",7.2,Documentaries,7.03,0
300 Miles to Heaven,Movie,"Denmark, France, Poland",2019-10-01,1989,TV-14,93 min,"Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",7.2,Drama,6.57,0
37 Seconds,Movie,Japan,2020-01-31,2020,TV-MA,116 min,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",7.3,Drama,6.57,0
3Below: Tales of Arcadia,TV Show,United States,2019-07-12,2019,TV-Y7,2 Seasons,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",7.8,Children,6.47,0
44 Cats,TV Show,Italy,2020-10-01,2018,TV-Y7,2 Seasons,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",6.4,Children,6.47,0
48 Christmas Wishes,Movie,Canada,2017-12-20,2017,TV-G,84 min,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",4.0,Comedy,6.34,0
5 Flights Up,Movie,United States,2019-03-17,2014,PG-13,92 min,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",6.2,Comedy,6.34,0
5 Star Christmas,Movie,Italy,2018-12-07,2018,TV-14,96 min,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",4.5,Comedy,6.34,0
6 Balloons,Movie,United States,2018-04-06,2018,TV-MA,75 min,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,5.8,Drama,6.57,0
6 Days,Movie,"New Zealand, United Kingdom",2018-02-08,2017,R,94 min,"When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",6.2,Drama,6.57,0
6 Underground,Movie,United States,2019-12-13,2019,R,129 min,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",6.1,Drama,6.57,0
6 Years,Movie,United States,2015-09-08,2015,TV-MA,80 min,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",5.6,Drama,6.57,0
6-5=2,Movie,India,2017-11-01,2014,TV-MA,103 min,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",6.0,Horror,5.52,0
68 Kill,Movie,United States,2019-09-01,2017,R,96 min,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,6.0,Comedy,6.34,0
7 Khoon Maaf,Movie,India,2018-08-02,2011,TV-MA,148 min,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",6.1,Drama,6.57,0
72 Cutest Animals,TV Show,Australia,2016-06-01,2016,TV-PG,1 Season,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,5.7,Documentaries,7.03,0
72 Dangerous Animals: Asia,TV Show,Australia,2018-08-10,2018,TV-14,1 Season,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",6.6,Documentaries,7.03,0
72 Dangerous Animals: Latin America,TV Show,"Australia, United States",2017-12-22,2017,TV-14,1 Season,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",6.8,Documentaries,7.03,0
72 Dangerous Places to Live,TV Show,Australia,2016-06-01,2016,TV-PG,1 Season,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",6.4,Documentaries,7.03,0
90 ML,Movie,India,2019-08-13,2019,TV-MA,123 min,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,3.3,Comedy,6.34,0
93 Days,Movie,Nigeria,2020-03-05,2016,TV-PG,121 min,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,6.0,Drama,6.57,0
A 3 Minute Hug,Movie,"Mexico, United States",2019-10-28,2019,TV-PG,28 min,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,6.4,Documentaries,7.03,0
A Bad Moms Christmas,Movie,"United States, China",2020-02-14,2017,R,104 min,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",5.6,Comedy,6.34,0
A Beautiful Life,Movie,"China, Hong Kong",2018-12-01,2011,TV-14,122 min,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",6.7,Drama,6.57,0
A Billion Colour Story,Movie,India,2018-04-01,2016,TV-14,104 min,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,7.8,Drama,6.57,0
A Champion Heart,Movie,United States,2020-04-14,2018,G,90 min,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",5.3,Drama,6.57,0
A Christmas Prince,Movie,United States,2017-11-17,2017,TV-PG,92 min,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,5.7,Drama,6.57,0
A Christmas Prince: The Royal Baby,Movie,United States,2019-12-05,2019,TV-PG,85 min,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",5.3,Drama,6.57,0
A Christmas Prince: The Royal Wedding,Movie,United States,2018-11-30,2018,TV-PG,93 min,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",5.2,Drama,6.57,0
A Cinderella Story: Christmas Wish,Movie,United States,2019-12-01,2019,PG,86 min,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",5.2,Comedy,6.34,0
A Dangerous Woman,Movie,United States,2018-04-01,1993,R,101 min,"At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.",5.8,Drama,6.57,0
A Fairly Odd Summer,Movie,United States,2019-11-02,2014,TV-Y7,68 min,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",4.0,Comedy,6.34,0
A Family Affair,Movie,"Netherlands, Denmark, South Africa",2016-10-16,2015,TV-PG,111 min,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,7.1,Documentaries,7.03,0
A Family Man,Movie,"Canada, United States",2019-12-15,2016,R,110 min,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,6.5,Drama,6.57,0
A Flying Jatt,Movie,India,2017-11-15,2016,TV-14,142 min,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.,3.1,Action & Adventure,6.14,0
A Fortunate Man,Movie,Denmark,2019-04-20,2018,TV-MA,168 min,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",7.2,Drama,6.57,0
A Futile and Stupid Gesture,Movie,United States,2018-01-26,2018,TV-MA,102 min,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",6.8,Comedy,6.34,0
A Ghost Story,Movie,United States,2020-01-07,2017,R,92 min,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",6.9,Drama,6.57,0
A Glimpse Inside the Mind of Charles Swan III,Movie,United States,2018-07-15,2012,R,86 min,"When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong.",4.8,Comedy,6.34,0
A Grand Night In: The Story of Aardman,Movie,United Kingdom,2016-11-01,2015,TV-PG,59 min,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",7.6,Documentaries,7.03,0
A Gray State,Movie,United States,2017-12-25,2017,TV-MA,93 min,"This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.",6.2,Documentaries,7.03,0
A Haunted House,Movie,United States,2020-02-21,2013,R,86 min,"This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",5.0,Comedy,6.34,0
A Haunting at Silver Falls: The Return,Movie,United States,2019-09-17,2019,TV-14,80 min,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",3.2,Horror,5.52,0
A Heavy Heart,Movie,Germany,2017-02-15,2015,TV-MA,109 min,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",7.1,Drama,6.57,0
A Korean Odyssey,TV Show,South Korea,2019-03-05,2017,TV-MA,1 Season,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,8.1,Romance,7.08,0
A Land Imagined,Movie,"France, Netherlands, Singapore",2019-04-13,2019,TV-MA,95 min,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,6.3,Drama,6.57,0
A Leaf of Faith,Movie,United States,2018-08-27,2018,TV-MA,87 min,"This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.",7.0,Documentaries,7.03,0
A Life of Speed: The Juan Manuel Fangio Story,Movie,Argentina,2020-03-20,2020,TV-14,93 min,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",6.7,Documentaries,7.03,0
A Little Chaos,Movie,United Kingdom,2019-04-17,2014,R,113 min,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.",6.5,Drama,6.57,0
A Little Help with Carol Burnett,TV Show,United States,2018-05-04,2018,TV-G,1 Season,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",6.0,Comedy,6.34,0
A Love Story,Movie,Philippines,2019-03-14,2007,TV-14,117 min,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",6.5,Drama,6.57,0
A Man Called God,TV Show,South Korea,2019-03-12,2010,TV-14,1 Season,"Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",5.8,Crime,7.41,1
A Mighty Team,Movie,France,2016-10-15,2016,TV-MA,97 min,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",5.5,Comedy,6.34,0
A Most Violent Year,Movie,"United Arab Emirates, United States",2018-07-22,2014,R,125 min,Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.,7.0,Drama,6.57,0
A Night at the Roxbury,Movie,United States,2019-12-01,1998,PG-13,82 min,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",6.3,Comedy,6.34,0
A Perfect Ending,Movie,United States,2019-01-01,2012,TV-MA,110 min,"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.",5.7,Drama,6.57,0
A Perfect Man,Movie,United States,2019-06-06,2013,R,94 min,"Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman.",5.2,Drama,6.57,0
A Plastic Ocean,Movie,"United Kingdom, Hong Kong",2019-10-04,2016,TV-14,100 min,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.",8.0,Documentaries,7.03,0
A Remarkable Tale,Movie,Spain,2019-11-01,2019,TV-MA,94 min,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",5.2,Comedy,6.34,0
A Scandall,Movie,India,2017-10-15,2016,TV-MA,108 min,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",3.0,Thrillers,5.85,0
A Second Chance,Movie,Philippines,2019-02-27,2015,TV-MA,130 min,"Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.",7.1,Drama,6.57,0
A Secret Love,Movie,United States,2020-04-29,2020,TV-14,83 min,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",8.1,Documentaries,7.03,0
A Series of Unfortunate Events,TV Show,United States,2019-01-01,2019,TV-PG,3 Seasons,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",7.8,Comedy,6.34,0
A Serious Man,Movie,"United States, United Kingdom, France",2018-01-16,2009,R,106 min,"With every aspect of his life unraveling, a Jewish physics professor seeks out three rabbis for spiritual guidance.",7.0,Comedy,6.34,0
A Shaun the Sheep Movie: Farmageddon,Movie,"United Kingdom, France, Belgium, United States, China",2020-02-14,2020,G,87 min,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.,6.9,Comedy,6.34,0
A Silent Voice,Movie,Japan,2019-06-05,2016,TV-14,130 min,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,8.2,Anime,7.67,1
A Single Man,Movie,United States,2019-11-11,2009,R,100 min,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,7.6,Drama,6.57,0
A Sort of Family,Movie,"Argentina, Brazil, France, Poland, Germany, Denmark",2018-04-01,2017,TV-14,96 min,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,6.4,Drama,6.57,0
A Sort of Homecoming,Movie,United States,2017-08-01,2015,TV-PG,89 min,Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.,5.8,Drama,6.57,0
A Stoning in Fulham County,Movie,United States,2011-10-01,1988,TV-14,95 min,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",5.7,Drama,6.57,0
A StoryBots Christmas,Movie,United States,2017-12-01,2017,TV-Y,26 min,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",5.9,Comedy,6.34,0
A Sun,Movie,Taiwan,2020-01-24,2019,TV-MA,156 min,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,7.7,Drama,6.57,0
A Taiwanese Tale of Two Cities,TV Show,Taiwan,2019-01-27,2018,TV-MA,1 Season,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",6.3,Drama,6.57,0
A Tale of Love and Darkness,Movie,"Israel, United States",2019-10-25,2015,PG-13,98 min,"Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",6.0,Drama,6.57,0
A Tale of Two Kitchens,Movie,"United States, Mexico",2019-05-22,2019,TV-PG,30 min,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",6.4,Documentaries,7.03,0
A Very Murray Christmas,Movie,United States,2015-12-04,2015,TV-14,57 min,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",5.5,Comedy,6.34,0
A Very Secret Service,TV Show,France,2018-07-30,2018,TV-MA,2 Seasons,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",7.8,Comedy,6.34,0
A Week in Watts,Movie,United States,2018-02-19,2017,TV-14,91 min,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.",6.3,Documentaries,7.03,0
A Witches' Ball,Movie,Canada,2018-10-01,2017,PG,91 min,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.",5.1,Children,6.47,0
A Yellow Bird,Movie,"Singapore, France",2017-05-01,2016,TV-MA,111 min,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",5.5,Drama,6.57,0
Aadu 2,Movie,India,2018-05-15,2017,TV-MA,150 min,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.",7.1,Comedy,6.34,0
Aagey Se Right,Movie,India,2018-11-01,2009,TV-14,117 min,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",5.1,Comedy,6.34,0
Aakhri Adaalat,Movie,India,2017-09-01,1988,TV-14,148 min,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,5.3,Action & Adventure,6.14,0
Aalorukkam,Movie,India,2018-11-15,2018,TV-PG,122 min,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",6.9,Drama,6.57,0
Aamir,Movie,India,2018-11-01,2008,TV-14,95 min,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",7.7,Thrillers,5.85,0
Aarakshan,Movie,India,2019-12-31,2011,TV-14,164 min,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,6.2,Drama,6.57,0
Aashayein,Movie,India,2017-10-22,2010,TV-14,115 min,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die.",7.1,Drama,6.57,0
ABCD 2,Movie,India,2018-11-01,2015,TV-14,146 min,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",5.4,Drama,6.57,0
Abducted in Plain Sight,Movie,United States,2019-01-15,2017,TV-14,90 min,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",6.8,Documentaries,7.03,0
"Abdullah, The Final Witness",Movie,Pakistan,2019-01-15,2016,TV-14,88 min,"Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",7.0,Drama,6.57,0
