Title,release_year,IMDb
Tahaan,2008,7.1
The Rainbow Troops,2008,7.8
Trailer Park Boys: Say Goodnight to the Bad Guys,2008,7.9
Verses of Love,2008,7.1
9,2009,7.1
3 Idiots,2009,8.4
A Serious Man,2009,7
A Single Man,2009,7.6
Dev.D,2009,8
District 9,2009,7.9
Harishchandrachi Factory,2009,8.4
Inglourious Basterds,2009,8.3
Jim Gaffigan: King Baby,2009,7.8
Julie & Julia,2009,7
Kaminey,2009,7.4
Kevin Hart: I'm a Grown Little Man,2009,7.7
Luck by Chance,2009,7
Moon,2009,7.9
My Suicide,2009,7.2
The Princess and the Frog,2009,7.1
Trailer Park Boys: Countdown to Liquor Day,2009,7.4
Wake Up Sid,2009,7.6
Aashayein,2010,7.1
Bill Burr: Let It Go,2010,8.4
Bleach the Movie: Hell Verse,2010,7.4
Blue Valentine,2010,7.4
Chandani: The Daughter of the Elephant Whisperer,2010,7.1
Do Dooni Chaar,2010,7.6
Even the Rain,2010,7.4
Guzaarish,2010,7.4
I Am Kalam,2010,8
Inception,2010,8.8
Ip Man 2,2010,7.5
Karthik Calling Karthik,2010,7
Kevin Hart: Seriously Funny,2010,7.6
Once Upon a Time in Mumbaai,2010,7.4
Paan Singh Tomar,2010,8.2
Raajneeti,2010,7.1
Rush: Beyond the Lighted Stage,2010,8.4
Sarah's Key,2010,7.5
Scott Pilgrim vs. the World,2010,7.5
Senna,2010,8.5
The King's Speech,2010,8
The Social Network,2010,7.7
Tucker and Dale vs. Evil,2010,7.5
Udaan,2010,8.2
Arthur Christmas,2011,7.1
Being Elmo: A Puppeteer's Journey,2011,7.6
Bodyguard,2011,8.1
Chillar Party,2011,7.4
Delhi Belly,2011,7.5
Forks Over Knives,2011,7.7
Hugo,2011,7.5
Jeff Dunham: Controlled Chaos,2011,7.5
Jiro Dreams of Sushi,2011,7.9
Kevin Hart: Laugh at My Pain,2011,7.4
Lavell Crawford: Can a Brother Get Some Love?,2011,7.1
Miss Representation,2011,7.6
My Week with Marilyn,2011,7
No One Killed Jessica,2011,7.2
Soul Surfer,2011,7
The Adventures of Tintin,2011,7.3
The Artist,2011,7.9
The Dancer,2011,7.1
Undefeated,2011,7.7
War Horse,2011,7.2
Zindagi Na Milegi Dobara,2011,8.1
An Hour and a Half,2012,7.1
Barfi!,2012,8.1
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.6
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.8
Django Unchained,2012,8.4
Donald Glover: Weirdo,2012,7.5
Elena,2012,7.6
End of Watch,2012,7.6
Fire in the Blood,2012,7.7
Frances Ha,2012,7.5
Game Over,2012,7.1
Grandmaster,2012,7
Habibie & Ainun,2012,7.6
Jeff Dunham: Minding the Monsters,2012,7.1
Jim Gaffigan: Mr. Universe,2012,7.8
John Mulaney: New in Town,2012,8.3
Kahaani,2012,8.1
Kon-Tiki,2012,7.2
Lawless,2012,7.3
Material,2012,7.4
Mud,2012,7.4
Numbered,2012,7.3
Room on the Broom,2012,7.6
Searching for Sugar Man,2012,8.2
Sebastian Maniscalco: What's Wrong with People?,2012,8.1
Silver Linings Playbook,2012,7.7
Talaash,2012,7.2
The Master,2012,7.2
The Perks of Being a Wallflower,2012,8
The Sapphires,2012,7
Wadjda,2012,7.5
About Time,2013,7.8
Aziz Ansari: Buried Alive,2013,7.3
Beary Tales,2013,8.1
Berserk: The Golden Age Arc III - The Advent,2013,7.9
Beyond All Boundaries,2013,8.1
Blackfish,2013,8.1
Blue Is the Warmest Color,2013,7.7
Blue Ruin,2013,7.1
Cutie and the Boxer,2013,7.2
Dallas Buyers Club,2013,8
From One Second to the Next,2013,7.4
Haani,2013,7.1
Her,2013,8
Inequality for All,2013,8
Instructions Not Included,2013,7.5
Kai Po Che!,2013,7.6
Locke,2013,7.1
Marc Maron: Thinky Pain,2013,7.4
Mike Birbiglia: My Girlfriend's Boyfriend,2013,8
Mortified Nation,2013,7.3
Russell Peters: Notorious,2013,7.1
Saving Mr. Banks,2013,7.5
Shrek the Musical,2013,7.1
Snowpiercer,2013,7.1
Soekarno,2013,7
Starred Up,2013,7.4
The Butterfly's Dream,2013,7.8
The Croods,2013,7.2
The Garden of Words,2013,7.5
The Meaning of Monty Python,2013,7.7
The Physician,2013,7.2
The Short Game,2013,7.4
The Spectacular Now,2013,7.1
The Square,2013,8.1
The Unknown Known,2013,7
Waar,2013,7.9
When Hari Got Married,2013,7
1000 Rupee Note,2014,7.3
A Most Violent Year,2014,7
Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,8.1
Bill Burr: I'm Sorry You Feel That Way,2014,8.4
Born in Gaza,2014,7.2
Chelsea Peretti: One of the Greats,2014,7
Cowspiracy: The Sustainability Secret,2014,8.3
Dukhtar,2014,7
E-Team,2014,7.1
Gardeners of Eden,2014,8.4
Haider,2014,8.1
Highway,2014,7.7
Jeff Dunham: All Over the Map,2014,7.1
Jim Gaffigan: Obsessed,2014,7.6
Kahlil Gibran's The Prophet,2014,7.1
"Love, Rosie",2014,7.2
Mission Blue,2014,8
Monty Python: The Meaning of Live,2014,7.6
Mune: Guardian of the Moon,2014,7.2
PK,2014,8.1
Print the Legend,2014,7.1
Punjab 1984,2014,8.5
Sadece Sen,2014,7.4
She's Dating the Gangster,2014,7.2
Skydancers,2014,8.2
Starting Over Again,2014,7.1
Suite Française,2014,7
The Battered Bastards of Baseball,2014,8
The Gospel of John,2014,7.6
The Hundred-Foot Journey,2014,7.3
The Last Man on the Moon,2014,7.4
The One I Love,2014,7.1
The Perfect Dictatorship,2014,7.2
The Theory of Everything,2014,7.7
The Water Diviner,2014,7
Tinker Bell and the Legend of the NeverBeast,2014,7.3
Tom Segura: Completely Normal,2014,7.8
Trash,2014,7.2
Virunga,2014,8.2
Vitti Dandu,2014,7.5
We Are Young. We Are Strong.,2014,7.1
A Family Affair,2015,7.1
A Grand Night In: The Story of Aardman,2015,7.6
A Heavy Heart,2015,7.1
A Second Chance,2015,7.1
Amy,2015,7.8
Anthony Jeselnik: Thoughts and Prayers,2015,7.8
April and the Extraordinary World,2015,7.3
Bana Masal Anlatma,2015,7.5
Barça Dreams,2015,7.3
Beasts of No Nation,2015,7.7
Black,2015,8
Colin Quinn: Unconstitutional,2015,7.1
Colonia,2015,7.1
Crazy Beautiful You,2015,7.2
De Palma,2015,7.4
Dream/Killer,2015,7.4
Eh Janam Tumhare Lekhe,2015,8.7
Everyday I Love You,2015,7
Ex Machina,2015,7.7
Fifty,2015,8.5
Green Room,2015,7
Gun Runners,2015,7.2
Harold and Lillian: A Hollywood Love Story,2015,8
Heneral Luna,2015,7.6
Highly Strung,2015,7.2
Ho Mann Jahaan,2015,7.2
Holding the Man,2015,7.4
How to Change the World,2015,7.6
Ip Man 3,2015,7.1
Jagat,2015,7
John Mulaney: The Comeback Kid,2015,7.9
Judge Singh LLB,2015,7.4
Kaakan,2015,8.3
Keith Richards: Under the Influence,2015,7.1
King Jack,2015,7
Krisha,2015,7.2
Look Who's Back,2015,7.1
Moor,2015,7.7
Mucize,2015,7.6
Muzaffarnagar Baaqi Hai,2015,7
Palm Trees in the Snow,2015,7.4
Remember,2015,7.5
Room,2015,8.1
Seoul Searching,2015,7.1
Steve Jobs,2015,7.2
Stink!,2015,7.1
Suburra,2015,7.4
Tamasha,2015,7.3
That Thing Called Tadhana,2015,7.5
The Danish Girl,2015,7.1
The End of the Tour,2015,7.3
The Fear of 13,2015,7.7
The Hateful Eight,2015,7.8
The Little Prince,2015,7.7
The Lobster,2015,7.2
The Massively Mixed-Up Middle School Mystery,2015,7.2
The Real Miyagi,2015,7.1
Thithi,2015,8.2
Tig,2015,7.4
Trumbo,2015,7.5
Tyke Elephant Outlaw,2015,7.4
Very Big Shot,2015,7.2
Waiting,2015,7.2
Walt Disney Animation Studios Short Films Collection,2015,7.7
Warehoused,2015,7.7
"What Happened, Miss Simone?",2015,7.6
Why Me?,2015,7.5
Winter on Fire: Ukraine's Fight for Freedom,2015,8.4
You Carry Me,2015,7
100 Meters,2016,7.5
20th Century Women,2016,7.3
A Billion Colour Story,2016,7.8
A Plastic Ocean,2016,8
A Silent Voice,2016,8.2
"Abdullah, The Final Witness",2016,7
Ali Wong: Baby Cobra,2016,7.5
American Honey,2016,7
APEX: The Story of the Hypercar,2016,7.4
Audrie & Daisy,2016,7.2
Beauties of the Night,2016,7.3
Bert Kreischer: The Machine,2016,7.7
Blue Jay,2016,7.3
Bo Burnham: Make Happy,2016,8.4
Born to Be Free,2016,7.5
Chasing Trane,2016,7.3
Cristina,2016,7.9
Dangal,2016,8.4
Dear Zindagi,2016,7.6
Divines,2016,7.4
Elizabeth at 90: A Family Tribute,2016,7.8
Everything About Her,2016,7.2
Extremis,2016,7.3
For the Love of Spock,2016,7.6
Forever Pure,2016,7.4
Franca: Chaos and Creation,2016,7.6
Garfunkel and Oates: Trying to be Special,2016,7.4
God Knows Where I Am,2016,7.3
Growing Up Wild,2016,7.3
Handsome Devil,2016,7.1
Hell or High Water,2016,7.6
Holy Hell,2016,7.1
"Houston, We Have a Problem!",2016,7.9
I Am Bolt,2016,7.1
I Called Him Morgan,2016,7.3
Ice Guardians,2016,7.5
In This Corner of the World,2016,7.8
Into the Inferno,2016,7.2
Janaan,2016,7.1
Jim Jefferies: Freedumb,2016,7.7
Jimmy Carr: Funny Business,2016,7.2
Joe Rogan: Triggered,2016,7.5
Kapoor & Sons,2016,7.7
Kung Fu Panda: Secrets of the Scroll,2016,7.1
Love O2O,2016,8
Lucha: Playing the Impossible,2016,7.2
Mad World,2016,7.3
Mango Dreams,2016,7.8
Metro,2016,7.3
Michael Che Matters,2016,7.1
Moonlight,2016,7.4
Mr. Church,2016,7.6
My Beautiful Broken Brain,2016,7.1
My Life as a Zucchini,2016,7.8
My Stupid Boss,2016,7.2
National Bird,2016,7.1
Norman Lear: Just Another Version of You,2016,7.2
Notes on Blindness,2016,7.1
One Day,2016,7
Pink,2016,8.1
Restless Creature: Wendy Whelan,2016,7.1
Rudy Habibie,2016,7.5
Rustom,2016,7.1
S Is for Stanley,2016,7
Saawan,2016,7
Sairat,2016,8.3
Saudi Arabia Uncovered,2016,7.2
Sky Ladder: The Art of Cai Guo-Qiang,2016,7.3
Sofía Niño de Rivera: Exposed,2016,7.4
Sour Grapes,2016,7.3
Swiss Army Man,2016,7
Team Foxcatcher,2016,7.3
The 24 Hour War,2016,7.2
The African Doctor,2016,7
The Bomb,2016,7.6
The C Word,2016,7.6
The Distinguished Citizen,2016,7.5
The Edge of Seventeen,2016,7.3
The Forest,2016,7.3
The Fundamentals of Caring,2016,7.3
The House on Coco Road,2016,7.4
The Invisible Guest,2016,8.1
The Ivory Game,2016,7.9
The Siege of Jadotville,2016,7.2
The White Helmets,2016,7.5
The Young Offenders,2016,7.1
Tom Segura: Mostly Stories,2016,7.5
Train to Busan,2016,7.5
U Turn,2016,7.5
Udta Punjab,2016,7.8
Unchained: The Untold Story of Freestyle Motocross,2016,7.9
Vaya,2016,7.8
When Two Worlds Collide,2016,7.7
Wrong Side Raju,2016,8
Aadu 2,2017,7.1
Ajji,2017,7
American Circumcision,2017,7.3
Angamaly Diaries,2017,8
Avicii: True Stories,2017,7.6
Ayana,2017,7.6
Bad Genius,2017,7.6
Barbra: The Music ... The Mem'ries ... The Magic!,2017,7.5
Betting on Zero,2017,7.2
Bhasmasur,2017,7
Bill Burr: Walk Your Way Out,2017,7.3
Bombshell: The Hedy Lamarr Story,2017,7.4
Can't Help Falling in Love,2017,7.2
Chasing Coral,2017,8.1
Clive Davis: The Soundtrack of Our Lives,2017,7.4
Conor McGregor: Notorious,2017,7.2
Cuba and the Cameraman,2017,8.2
Death Note,2017,9
Diana: In Her Own Words,2017,7.9
El Che,2017,7
Filmworker,2017,7.4
First They Killed My Father,2017,7.2
Gaga: Five Foot Two,2017,7
Get Me Roger Stone,2017,7.4
Good Time,2017,7.4
Hey Arnold! The Jungle Movie,2017,7.6
Hombanna,2017,8.4
Hostiles,2017,7.2
Icarus,2017,7.9
Ittefaq,2017,7.2
Jerry Before Seinfeld,2017,7
Jim Gaffigan: Cinco,2017,7.1
Jo Koy: Live from Seattle,2017,7.1
Joan Didion: The Center Will Not Hold,2017,7.4
Joshua: Teenager vs. Superpower,2017,7
Judah Friedlander: America Is the Greatest Country in the United States,2017,7.7
Kaabil,2017,7.1
Kingdom of Us,2017,7
LA 92,2017,8.2
Let It Fall: Los Angeles 1982-1992,2017,7.7
Limitless,2017,7.7
Long Shot,2017,7.4
Long Time Running,2017,7.8
Love and Shukla,2017,7.3
Love Ni Bhavai,2017,8.4
Maacher Jhol,2017,7
Mala Kahich Problem Nahi,2017,7.2
Manhunt,2017,8.1
Manusangada,2017,8.4
Marc Maron: Too Real,2017,7.2
Mersal,2017,7.7
Mike Birbiglia: Thank God for Jokes,2017,7.5
Mission Control: The Unsung Heroes of Apollo,2017,7.5
Molly's Game,2017,7.4
Mountain,2017,7.2
Mudbound,2017,7.4
Muramba,2017,8.1
My Happy Family,2017,7.4
Neal Brennan: 3 Mics,2017,7.9
No Game No Life: Zero,2017,7.5
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017,7.2
Okja,2017,7.3
On Body and Soul,2017,7.6
One Heart: The A.R. Rahman Concert Film,2017,8.7
One of Us,2017,7
Patton Oswalt: Annihilation,2017,7.2
Pimpal,2017,7.8
Qarib Qarib Singlle,2017,7
Red Oleanders Raktokarobi,2017,7.3
Resurface,2017,7
Russell Howard: Recalibrate,2017,7.4
Ryan Hamilton: Happy Face,2017,7.3
Sad Hill Unearthed,2017,7.3
Samantaral,2017,7.6
Secret Superstar,2017,7.9
Seven Sundays,2017,7.9
Shot Caller,2017,7.3
Shubh Aarambh,2017,7.3
Shuddhi,2017,8
Skins,2017,8.2
Story of an Egg,2017,8
Surga Yang Tak Dirindukan 2,2017,7.2
Taramani,2017,7.5
The Breadwinner,2017,7.7
The Cakemaker,2017,7.2
The Carter Effect,2017,7.1
The Dawn Wall,2017,8.1
The Death and Life of Marsha P. Johnson,2017,7.2
The Death of Stalin,2017,7.2
The Florida Project,2017,7.6
The Foreigner,2017,7
The Killing of a Sacred Deer,2017,7
The Milk System,2017,7.1
The Untold Tales of Armistead Maupin,2017,7.6
Tikli and Laxmi Bomb,2017,8.2
Transformer,2017,7.4
Trevor Noah: Afraid of the Dark,2017,7.2
Trophy,2017,7.3
Unacknowledged,2017,7.1
Unrest,2017,7.7
Urvi,2017,7
What the Health,2017,7.4
What We Started,2017,7
Williams,2017,7.6
"2,215",2018,7.9
3 Seconds Divorce,2018,7.2
A Fortunate Man,2018,7.2
A Leaf of Faith,2018,7
Ali Wong: Hard Knock Wife,2018,7.4
Angela's Christmas,2018,7
Ant-Man and the Wasp,2018,7.1
Asees,2018,7.4
Avengers: Infinity War,2018,8.5
Bad Seeds,2018,7.3
Bathtubs Over Broadway,2018,7.5
Betty White: First Lady of Television,2018,7.8
Bhavesh Joshi Superhero,2018,7.6
Black Mirror: Bandersnatch,2018,7.2
BNK48: Girls Don't Cry,2018,7.3
Bobby Robson: More Than a Manager,2018,8.2
Bogda,2018,7.3
Burning,2018,7.5
Camarón: The Film,2018,7.3
Carlos Ballarta: Furia Ñera,2018,7.2
Christopher Robin,2018,7.3
City of Joy,2018,7.3
Cracked Up: The Darrell Hammond Story,2018,7.3
Dear Ex,2018,7.4
Demetri Martin: The Overthinker,2018,7.2
Den of Thieves,2018,7
Ee Nagaraniki Emaindi,2018,7.9
Eeda,2018,7.2
End Game,2018,7.1
Evening Shadows,2018,7.1
Forever Chape,2018,7.1
Gad Elmaleh: American Dream,2018,7.2
Girl,2018,7.2
Greg Davies: You Magnificent Beast,2018,7.1
Halkaa,2018,7.3
Hamid,2018,7.8
Hannah Gadsby: Nanette,2018,8.2
Happy as Lazzaro,2018,7.6
Hikaru Utada Laughter in the Dark Tour 2018,2018,8.6
Iliza Shlesinger: Elder Millennial,2018,7.2
Invisible Essence: The Little Prince,2018,7.5
Jim Jefferies: This Is Me Now,2018,7.3
John Mulaney: Kid Gorgeous at Radio City,2018,7.9
Komola Rocket,2018,7.4
Late Life: The Chien-Ming Wang Story,2018,7.1
Life in the Doghouse,2018,8.4
Love for Sale,2018,7.4
Luciano Mellera: Infantiloide,2018,8.6
Lupt,2018,7.3
Maktub,2018,7.5
Manto,2018,7.4
Manu,2018,7.9
Merku Thodarchi Malai,2018,8.6
Mirage,2018,7.4
Mo Amer: The Vagabond,2018,7.3
Nathicharami,2018,7.1
Njan Prakashan,2018,7.6
Odu Raja Odu,2018,7.2
Old Lord Savanna,2018,7.6
On My Skin,2018,7.3
Once Again,2018,7.1
Parmanu: The Story of Pokhran,2018,7.7
Party Monster: Scratching the Surface,2018,7
Period. End of Sentence.,2018,7.4
Private Life,2018,7.2
Quién te cantará,2018,7
Quincy,2018,7.6
Rainbow Jelly,2018,7.4
"Ram Dass, Going Home",2018,7
ReMastered: Tricky Dick & The Man in Black,2018,7.2
Reversing Roe,2018,7.3
Ricky Gervais: Humanity,2018,7.9
Roll Red Roll,2018,7.1
Ronnie Coleman: The King,2018,7
Salam - The First ****** Nobel Laureate,2018,7.9
Sanju,2018,7.8
Satan & Adam,2018,7.3
Screwball,2018,7.1
Shirkers,2018,7.4
Shonar Pahar,2018,8.1
Si Doel the Movie,2018,7.1
Solo,2018,7.1
Soni,2018,7.2
Soorma,2018,7.4
Spider-Man: Into the Spider-Verse,2018,8.4
Steel Rain,2018,7.1
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,7.1
Stree,2018,7.6
Struggle: The Life and Lost Art of Szukalski,2018,8
Sudani from Nigeria,2018,8.2
Teefa in Trouble,2018,7.3
The Accountant of Auschwitz,2018,7.3
The American Meme,2018,7.3
The Ballad of Buster Scruggs,2018,7.3
The Bleeding Edge,2018,7.7
The Christmas Chronicles,2018,7.1
The Devil We Know,2018,7.7
The Game Changers,2018,7.9
The Last Resort,2018,7.3
The Night Comes for Us,2018,7
Todo lo que sería Lucas Lauriente,2018,7.7
Tom Segura: Disgraceful,2018,7.6
Tottaa Pataaka Item Maal,2018,7.9
Untamed Romania,2018,8.7
Us and Them,2018,7.3
Vir Das: Losing It,2018,7
Weed the People,2018,7
Zion,2018,7.2
A Sun,2019,7.7
American Factory,2019,7.4
Anthony Jeselnik: Fire in the Maternity Ward,2019,7
Article 15,2019,8.3
Badla,2019,7.9
Bethany Hamilton: Unstoppable,2019,7.3
Bill Burr: Paper Tiger,2019,8.2
Dancing with the Birds,2019,8.3
Daniel Sosa: Maleducado,2019,7.1
Dave Chappelle: Sticks & Stones,2019,8.5
Dolemite Is My Name,2019,7.3
Drive,2019,7.8
Echo in the Canyon,2019,7
El Camino: A Breaking Bad Movie,2019,7.4
Evvarikee Cheppoddu,2019,7.3
Fire in Paradise,2019,7.4
Free Rein: Valentine's Day,2019,7.3
FYRE: The Greatest Party That Never Happened,2019,7.2
Happy Old Year,2019,7.5
I Lost My Body,2019,7.6
John Mulaney & The Sack Lunch Bunch,2019,7.5
Kabir Singh,2019,7.1
Klaus,2019,8.2
Last Breath,2019,7.7
Love Is War,2019,7.2
Marriage Story,2019,8
Mayday Life,2019,7.7
Michelle Wolf: Joke Show,2019,7.1
Mike Birbiglia: The New One,2019,7.6
Miles Davis: Birth of the Cool,2019,7.4
Miracle in Cell No. 7,2019,7.5
Nate Bargatze: The Tennessee Kid,2019,7.5
Paddleton,2019,7.2
Petta,2019,7.3
Prosecuting Evil: The Extraordinary World of Ben Ferencz,2019,7.3
"Ray Romano: Right Here, Around the Corner",2019,7.2
ReMastered: Devil at the Crossroads,2019,7
ReMastered: Massacre at the Stadium,2019,7.3
ReMastered: The Miami Showband Massacre,2019,7
ReMastered: The Two Killings of Sam Cooke,2019,7.2
Rocko's Modern Life: Static Cling,2019,7
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,7.7
Ronny Chieng: Asian Comedian Destroys America!,2019,7.4
Saavat,2019,7.5
Sebastian Maniscalco: Stay Hungry,2019,7.1
Seth Meyers: Lobby Baby,2019,7.5
Seventeen,2019,7.2
Shéhérazade,2019,7.1
Shelby American,2019,7.2
Si Doel the Movie 2,2019,7
Tell Me Who I Am,2019,7.6
The Animal People,2019,7.2
The Boy Who Harnessed the Wind,2019,7.6
The Dirt,2019,7
The Edge of Democracy,2019,7.1
The End,2019,7.4
The Great Hack,2019,7
The Irishman,2019,7.9
The King,2019,7.2
The Long Goodbye: The Kara Tippetts Story,2019,8.1
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,7.1
The Sky Is Pink,2019,7.5
The Two Popes,2019,7.6
Then Came You,2019,7
Thottappan,2019,7
Trixie Mattel: Moving Parts,2019,7.3
True: Happy Hearts Day,2019,8.6
True: Tricky Treat Day,2019,7.4
Tune in for Love,2019,7.1
Uriyadi 2,2019,7.4
Uyare,2019,8.1
Violet Evergarden: Eternity and the Auto Memory Doll,2019,7.4
Wanda Sykes: Not Normal,2019,7.1
37 Seconds,2020,7.3
A Secret Love,2020,8.1
Ala Vaikunthapurramuloo,2020,7.2
Bert Kreischer: Hey Big Boy,2020,7.1
Circus of Books,2020,7.1
Crip Camp: A Disability Revolution,2020,7.8
Fearless,2020,7.1
Go! Go! Cory Carson: The Chrissy,2020,7.3
Have a Good Trip: Adventures in Psychedelics,2020,7
Kannum Kannum Kollaiyadithaal,2020,7.7
LA Originals,2020,7.3
"Live Twice, Love Once",2020,7.2
Miss Americana,2020,7.4
Money Heist: The Phenomenon,2020,7.5
Sitara: Let Girls Dream,2020,7.3
System Crasher,2020,7.9
Taylor Tomlinson: Quarter-Life Crisis,2020,7.4
The Lift Boy,2020,7.3
Tom Papa: You're Doing Great!,2020,7.1
Tom Segura: Ball Hog,2020,7.3
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,7.7
Uppity: The Willy T. Ribbs Story,2020,8
Vir Das: For India,2020,7.8
Yeh Ballet,2020,7.6
"Yours Sincerely, Kanan Gill",2020,7.2
