Title,type,country,date_added,release_year,rating,IMDb,Genre,Growth Outcome
Killer Inside: The Mind of Aaron Hernandez,TV Show,United States,2020-01-15,2020,TV-MA,7.4,Crime,1
Lucifer,TV Show,United States,2020-08-21,2020,TV-14,8.2,Crime,1
Medical Police,TV Show,United States,2020-01-10,2020,TV-MA,5.8,Crime,1
Ozark,TV Show,United States,2020-03-27,2020,TV-MA,8.4,Crime,1
The Innocence Files,TV Show,United States,2020-04-15,2020,TV-MA,8.0,Crime,1
The Pharmacist,TV Show,United States,2020-02-05,2020,TV-MA,7.8,Crime,1
The Trials of Gabriel Fernandez,TV Show,United States,2020-02-26,2020,TV-MA,8.2,Crime,1
"Tiger King: Murder, Mayhem and Madness",TV Show,United States,2020-03-20,2020,TV-MA,7.8,Crime,1
Who Killed Malcolm X?,TV Show,United States,2020-02-07,2020,TV-MA,7.6,Crime,1
A Secret Love,Movie,United States,2020-04-29,2020,TV-14,8.1,Documentaries,1
Babies,TV Show,United States,2020-06-19,2020,TV-14,6.9,Documentaries,1
Becoming,Movie,United States,2020-05-06,2020,PG,6.6,Documentaries,1
Cheer,TV Show,United States,2020-01-08,2020,TV-MA,8.2,Documentaries,1
Circus of Books,Movie,United States,2020-04-22,2020,TV-MA,7.1,Documentaries,1
"Coronavirus, Explained",TV Show,United States,2020-04-26,2020,TV-PG,7.8,Documentaries,1
Crip Camp: A Disability Revolution,Movie,United States,2020-03-25,2020,R,7.8,Documentaries,1
Have a Good Trip: Adventures in Psychedelics,Movie,United States,2020-05-11,2020,TV-MA,7.0,Documentaries,1
LA Originals,Movie,United States,2020-04-10,2020,TV-MA,7.3,Documentaries,1
Last Chance U,TV Show,United States,2020-07-28,2020,TV-MA,8.5,Documentaries,1
MeatEater,TV Show,United States,2020-09-16,2020,TV-14,7.9,Documentaries,1
Miss Americana,Movie,United States,2020-01-31,2020,TV-MA,7.4,Documentaries,1
Murder to Mercy: The Cyntoia Brown Story,Movie,United States,2020-04-29,2020,TV-MA,6.3,Documentaries,1
Pandemic: How to Prevent an Outbreak,TV Show,United States,2020-01-22,2020,TV-14,6.3,Documentaries,1
Somebody Feed Phil,TV Show,United States,2020-10-30,2020,TV-14,8.1,Documentaries,1
Taco Chronicles,TV Show,United States,2020-09-15,2020,TV-MA,8.5,Documentaries,1
The Chef Show,TV Show,United States,2020-09-24,2020,TV-MA,8.2,Documentaries,1
Ugly Delicious,TV Show,United States,2020-03-06,2020,TV-MA,7.8,Documentaries,1
Uppity: The Willy T. Ribbs Story,Movie,United States,2020-02-05,2020,TV-MA,8.0,Documentaries,1
#blackAF,TV Show,United States,2020-04-17,2020,TV-MA,6.6,Comedy,1
Absurd Planet,TV Show,United States,2020-04-22,2020,TV-PG,3.8,Comedy,1
Airplane Mode,Movie,United States,2020-01-23,2020,TV-PG,3.8,Comedy,1
AJ and the Queen,TV Show,United States,2020-01-10,2020,TV-14,7.6,Comedy,1
Alexa & Katie,TV Show,United States,2020-06-13,2020,TV-G,7.3,Comedy,1
Bert Kreischer: Hey Big Boy,Movie,United States,2020-03-17,2020,TV-MA,7.1,Comedy,1
Big Mouth,TV Show,United States,2020-12-04,2020,TV-MA,8.0,Comedy,1
BoJack Horseman,TV Show,United States,2019-10-25,2020,TV-MA,8.7,Comedy,1
Brews Brothers,TV Show,United States,2020-04-10,2020,TV-MA,4.8,Comedy,1
Bulletproof 2,Movie,United States,2020-01-09,2020,TV-MA,3.5,Comedy,1
Chris D'Elia: No Pain,Movie,United States,2020-04-14,2020,TV-MA,6.0,Comedy,1
Coffee & Kareem,Movie,United States,2020-04-03,2020,TV-MA,5.1,Comedy,1
Dead to Me,TV Show,United States,2020-05-08,2020,TV-MA,8.1,Comedy,1
Dragons: Rescue Riders,TV Show,United States,2020-02-07,2020,TV-Y,6.4,Comedy,1
Dragons: Rescue Riders: Hunt for the Golden Dragon,Movie,United States,2020-03-27,2020,TV-Y,6.1,Comedy,1
F is for Family,TV Show,United States,2020-06-12,2020,TV-MA,8.0,Comedy,1
Family Reunion,TV Show,United States,2020-01-20,2020,TV-PG,6.3,Comedy,1
Fortune Feimster: Sweet & Salty,Movie,United States,2020-01-21,2020,TV-MA,6.8,Comedy,1
Fuller House,TV Show,United States,2019-12-06,2020,TV-PG,6.8,Comedy,1
Gentefied,TV Show,United States,2020-02-21,2020,TV-MA,7.3,Comedy,1
Grace and Frankie,TV Show,United States,2020-01-15,2020,TV-MA,8.3,Comedy,1
Harvey Street Kids,TV Show,United States,2020-01-10,2020,TV-Y7,6.1,Comedy,1
Jerry Seinfeld: 23 Hours To Kill,Movie,United States,2020-05-05,2020,TV-PG,6.7,Comedy,1
Kipo and the Age of Wonderbeasts,TV Show,United States,2020-10-12,2020,TV-Y7,8.3,Comedy,1
Leslie Jones: Time Machine,Movie,United States,2020-01-14,2020,TV-MA,5.1,Comedy,1
Magic for Humans,TV Show,United States,2020-05-15,2020,TV-14,7.1,Comedy,1
Marc Maron: End Times Fun,Movie,United States,2020-03-10,2020,TV-MA,6.8,Comedy,1
Middleditch & Schwartz,TV Show,United States,2020-04-21,2020,TV-MA,8.7,Comedy,1
Mr. Iglesias,TV Show,United States,2020-12-08,2020,TV-14,7.1,Comedy,1
My Next Guest Needs No Introduction With David Letterman,TV Show,United States,2020-10-21,2020,TV-MA,7.9,Comedy,1
Never Have I Ever,TV Show,United States,2020-04-27,2020,TV-14,8.0,Comedy,1
On My Block,TV Show,United States,2020-03-11,2020,TV-14,8.1,Comedy,1
Paradise PD,TV Show,United States,2020-03-06,2020,TV-MA,7.0,Comedy,1
Patriot Act with Hasan Minhaj,TV Show,United States,2020-05-17,2020,TV-MA,8.2,Comedy,1
Pup Academy,TV Show,United States,2020-12-15,2020,TV-Y,6.6,Comedy,1
Spenser Confidential,Movie,United States,2020-03-06,2020,R,6.2,Comedy,1
Taylor Tomlinson: Quarter-Life Crisis,Movie,United States,2020-03-03,2020,TV-MA,7.4,Comedy,1
Team Kaylie,TV Show,United States,2020-02-03,2020,TV-PG,4.2,Comedy,1
The Big Show Show,TV Show,United States,2020-12-09,2020,TV-G,6.4,Comedy,1
The Boss Baby: Back in Business,TV Show,United States,2020-11-17,2020,TV-Y7,6.4,Comedy,1
The Expanding Universe of Ashley Garcia,TV Show,United States,2020-12-09,2020,TV-PG,6.5,Comedy,1
The Good Place,TV Show,United States,2020-09-26,2020,TV-14,8.2,Comedy,1
The Iliza Shlesinger Sketch Show,TV Show,United States,2020-04-01,2020,TV-MA,4.8,Comedy,1
The Last Kids on Earth,TV Show,United States,2020-10-16,2020,TV-Y7,7.5,Comedy,1
The Main Event,Movie,United States,2020-04-10,2020,TV-G,4.7,Comedy,1
The Midnight Gospel,TV Show,United States,2020-04-20,2020,TV-MA,8.4,Comedy,1
The Politician,TV Show,United States,2020-06-19,2020,TV-MA,7.5,Comedy,1
The Ranch,TV Show,United States,2020-01-24,2020,TV-MA,7.5,Comedy,1
The Wrong Missy,Movie,United States,2020-05-13,2020,TV-MA,5.8,Comedy,1
To All the Boys: P.S. I Still Love You,Movie,United States,2020-02-12,2020,TV-14,6.0,Comedy,1
Tom Papa: You're Doing Great!,Movie,United States,2020-02-04,2020,TV-14,7.1,Comedy,1
Tom Segura: Ball Hog,Movie,United States,2020-03-24,2020,TV-MA,7.3,Comedy,1
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,Movie,United States,2020-05-12,2020,TV-14,7.7,Comedy,1
Next in Fashion,TV Show,United States,2020-01-29,2020,TV-14,7.4,Reality,1
Queer Eye,TV Show,United States,2020-06-05,2020,TV-14,8.5,Reality,1
Sugar Rush Christmas,TV Show,United States,2020-11-27,2020,TV-14,6.8,Reality,1
The Circle,TV Show,United States,2020-01-01,2020,TV-MA,7.5,Reality,1
Too Hot to Handle,TV Show,United States,2020-04-17,2020,TV-MA,4.5,Reality,1
Chico Bon Bon: Monkey with a Tool Belt,TV Show,United States,2020-10-27,2020,TV-Y,7.9,Children,1
Dino Girl Gauko,TV Show,United States,2020-03-20,2020,TV-Y7,7.1,Children,1
Fast & Furious Spy Racers,TV Show,United States,2020-12-26,2020,TV-Y7,5.2,Children,1
Glitch Techs,TV Show,United States,2020-08-17,2020,TV-Y7,7.8,Children,1
Go! Go! Cory Carson,TV Show,United States,2020-12-26,2020,TV-Y,8.1,Children,1
Go! Go! Cory Carson: The Chrissy,Movie,United States,2020-05-01,2020,TV-Y,7.3,Children,1
Hello Ninja,TV Show,United States,2020-07-10,2020,TV-Y,7.5,Children,1
She-Ra and the Princesses of Power,TV Show,United States,2020-05-15,2020,TV-Y7,7.3,Children,1
Spirit Riding Free: Riding Academy,TV Show,United States,2020-09-04,2020,TV-Y7,7.1,Children,1
StarBeam,TV Show,United States,2020-09-08,2020,TV-Y,7.2,Children,1
Word Party,TV Show,United States,2020-01-21,2020,TV-Y,6.2,Children,1
Dangerous Lies,Movie,United States,2020-04-30,2020,TV-14,5.2,Thrillers,0
Love 101,TV Show,Turkey,2020-04-24,2020,TV-MA,7.7,Drama,1
The Gift,TV Show,Turkey,2020-09-10,2020,TV-MA,7.6,Drama,1
The Protector,TV Show,Turkey,2020-07-09,2020,TV-MA,6.9,Action & Adventure,1
Ragnarok,TV Show,Norway,2020-01-31,2020,TV-MA,7.5,Drama,1
Bloodride,TV Show,Norway,2020-03-13,2020,TV-MA,6.3,Horror,0
Home for Christmas,TV Show,Norway,2020-12-18,2020,TV-MA,7.6,Comedy,1
Norsemen,TV Show,Norway,2020-07-22,2020,TV-MA,7.8,Comedy,1
Guilty,Movie,India,2020-03-06,2020,TV-MA,5.5,Drama,1
Love Aaj Kal,Movie,India,2020-04-27,2020,TV-MA,5.2,Drama,1
The Lift Boy,Movie,India,2020-04-27,2020,TV-MA,7.3,Drama,1
Yeh Ballet,Movie,India,2020-02-21,2020,TV-MA,7.6,Drama,1
Psycho,Movie,India,2020-05-01,2020,TV-MA,6.3,Horror,0
Jamtara - Sabka Number Ayega,TV Show,India,2020-01-10,2020,TV-MA,7.4,Crime,1
She,TV Show,India,2020-03-20,2020,TV-MA,6.5,Crime,1
Ala Vaikunthapurramuloo,Movie,India,2020-02-27,2020,TV-14,7.2,Comedy,1
Bheeshma,Movie,India,2020-04-25,2020,TV-14,6.7,Comedy,1
Cargo,Movie,India,2020-09-09,2020,TV-14,6.3,Comedy,1
Jai Mummy Di,Movie,India,2020-03-14,2020,TV-MA,3.5,Comedy,1
Kannum Kannum Kollaiyadithaal,Movie,India,2020-03-29,2020,TV-14,7.7,Comedy,1
Ludo,Movie,India,2020-11-12,2020,TV-MA,2.8,Comedy,1
Maska,Movie,India,2020-03-27,2020,TV-MA,6.0,Comedy,1
Shimla Mirchi,Movie,India,2020-01-27,2020,TV-14,4.7,Comedy,1
Varane Avashyamund,Movie,India,2020-04-20,2020,TV-14,6.9,Comedy,1
Vir Das: For India,Movie,India,2020-01-26,2020,TV-MA,7.8,Comedy,1
"Yours Sincerely, Kanan Gill",Movie,India,2020-04-24,2020,TV-MA,7.2,Comedy,1
Mrs. Serial Killer,Movie,India,2020-05-01,2020,TV-MA,4.5,Thrillers,0
18 Presents,Movie,Italy,2020-05-08,2020,TV-MA,6.7,Drama,1
Baby,TV Show,Italy,2020-09-16,2020,TV-MA,6.8,Drama,1
Luna Nera,TV Show,Italy,2020-01-31,2020,TV-MA,5.5,Drama,1
Summertime,TV Show,Italy,2020-04-29,2020,TV-MA,6.7,Drama,1
Ultras,Movie,Italy,2020-03-20,2020,TV-MA,6.0,Drama,1
Suburra: Blood on Rome,TV Show,Italy,2020-10-30,2020,TV-MA,8.0,Crime,1
Elite,TV Show,Spain,2020-03-13,2020,TV-MA,7.6,Crime,1
High Seas,TV Show,Spain,2020-08-07,2020,TV-MA,6.8,Crime,1
Locked Up,TV Show,Spain,2020-07-31,2020,TV-MA,8.3,Crime,1
Unauthorized Living,TV Show,Spain,2020-01-31,2020,TV-MA,7.5,Crime,1
Money Heist: The Phenomenon,Movie,Spain,2020-04-03,2020,TV-MA,7.5,Documentaries,1
"Live Twice, Love Once",Movie,Spain,2020-01-07,2020,TV-MA,7.2,Comedy,1
Valeria,TV Show,Spain,2020-05-08,2020,TV-MA,6.2,Romance,1
The Occupant,Movie,Spain,2020-03-25,2020,TV-MA,6.3,Thrillers,0
Itaewon Class,TV Show,South Korea,2020-02-01,2020,TV-MA,8.2,Drama,1
Extracurricular,TV Show,South Korea,2020-04-29,2020,TV-MA,6.1,Crime,1
Rugal,TV Show,South Korea,2020-03-29,2020,TV-MA,6.7,Crime,1
Stranger,TV Show,South Korea,2020-08-16,2020,TV-MA,8.6,Crime,1
The King: Eternal Monarch,TV Show,South Korea,2020-04-18,2020,TV-14,8.5,Crime,1
Hospital Playlist,TV Show,South Korea,2020-03-12,2020,TV-MA,8.3,Comedy,1
YooHoo to the Rescue,TV Show,South Korea,2020-03-25,2020,TV-Y,6.6,Children,1
Time to Hunt,Movie,South Korea,2020-04-23,2020,TV-MA,6.2,Thrillers,1
The Rain,TV Show,Denmark,2020-08-06,2020,TV-MA,6.3,Drama,1
Rita,TV Show,Denmark,2020-08-15,2020,TV-MA,8.1,Comedy,1
37 Seconds,Movie,Japan,2020-01-31,2020,TV-MA,7.3,Drama,1
Followers,TV Show,Japan,2020-02-27,2020,TV-MA,6.2,Drama,1
Altered Carbon: Resleeved,Movie,Japan,2020-03-19,2020,TV-MA,6.5,Action & Adventure,1
Sol Levante,Movie,Japan,2020-04-02,2020,TV-14,4.8,Action & Adventure,1
Ghost in the Shell: SAC_2045,TV Show,Japan,2020-04-23,2020,TV-14,6.3,Crime,1
The Forest of Love: Deep Cut,TV Show,Japan,2020-04-30,2020,TV-MA,6.5,Crime,1
Aggretsuko,TV Show,Japan,2020-08-27,2020,TV-14,8.0,Anime,1
Cagaster of an Insect Cage,TV Show,Japan,2020-02-06,2020,TV-MA,6.1,Anime,1
Handsome Siblings,TV Show,China,2020-01-16,2020,TV-14,8.2,Drama,1
Flavorful Origins,TV Show,China,2020-11-20,2020,TV-G,7.6,Documentaries,1
Scissor Seven,TV Show,China,2020-05-07,2020,TV-14,8.0,Comedy,1
Well-Intended Love,TV Show,China,2020-04-01,2020,TV-14,7.5,Comedy,1
Locke & Key,TV Show,Canada,2020-02-07,2020,TV-14,7.4,Drama,1
The Decline,Movie,Canada,2020-03-27,2020,TV-MA,5.9,Action & Adventure,0
#cats_the_mewvie,Movie,Canada,2020-02-05,2020,TV-14,5.2,Documentaries,1
Fearless,Movie,Canada,2020-08-14,2020,TV-Y7,7.1,Comedy,1
Kim's Convenience,TV Show,Canada,2020-04-01,2020,TV-MA,8.1,Comedy,1
Schitt's Creek,TV Show,Canada,2020-10-03,2020,TV-MA,8.4,Comedy,1
The Willoughbys,Movie,Canada,2020-04-22,2020,PG,6.4,Comedy,1
Trailer Park Boys: The Animated Series,TV Show,Canada,2020-05-22,2020,TV-MA,7.5,Comedy,1
Workin' Moms,TV Show,Canada,2020-05-06,2020,TV-MA,7.5,Comedy,1
Restaurants on the Edge,TV Show,Canada,2020-05-08,2020,TV-14,6.6,Reality,1
Rust Valley Restorers,TV Show,Canada,2020-08-21,2020,TV-14,7.6,Reality,1
Carmen Sandiego: To Steal or Not to Steal,Movie,Canada,2020-03-10,2020,TV-Y7,6.8,Children,1
Polly Pocket,TV Show,Canada,2020-11-15,2020,TV-Y,6.4,Children,1
The Hollow,TV Show,Canada,2020-05-08,2020,TV-Y7,7.2,Children,1
True: Wuzzle Wegg Day,Movie,Canada,2020-03-27,2020,TV-Y,5.6,Children,1
Rising High,Movie,Germany,2020-04-17,2020,TV-MA,5.7,Drama,1
System Crasher,Movie,Germany,2020-02-21,2020,TV-MA,7.9,Drama,1
Unorthodox,TV Show,Germany,2020-03-26,2020,TV-MA,8.1,Drama,1
Babylon Berlin,TV Show,Germany,2020-03-01,2020,TV-MA,8.4,Crime,1
Dark,TV Show,Germany,2020-06-27,2020,TV-MA,8.7,Crime,1
How to Sell Drugs Online (Fast),TV Show,Germany,2020-07-21,2020,TV-MA,7.9,Crime,1
Isi & Ossi,Movie,Germany,2020-02-14,2020,TV-MA,6.4,Comedy,1
Nailed It! Germany,TV Show,Germany,2020-01-17,2020,TV-14,5.6,Reality,1
Earth and Blood,Movie,France,2020-04-17,2020,TV-MA,5.0,Drama,1
Vampires,TV Show,France,2020-03-20,2020,TV-MA,5.4,Drama,1
Inhuman Resources,TV Show,France,2020-05-15,2020,TV-MA,7.1,Crime,1
Call the Midwife,TV Show,United Kingdom,2020-09-15,2020,TV-MA,8.4,Drama,1
Dracula,TV Show,United Kingdom,2020-01-04,2020,TV-14,6.8,Drama,1
Last Tango in Halifax,TV Show,United Kingdom,2021-01-12,2020,TV-MA,8.3,Drama,1
The Crown,TV Show,United Kingdom,2020-11-15,2020,TV-MA,8.7,Drama,1
The Eddy,TV Show,United Kingdom,2020-05-08,2020,TV-MA,7.0,Drama,1
The English Game,TV Show,United Kingdom,2020-03-20,2020,TV-14,7.6,Drama,1
The Last Kingdom,TV Show,United Kingdom,2020-04-26,2020,TV-MA,8.4,Action & Adventure,1
The Letter for the King,TV Show,United Kingdom,2020-03-20,2020,TV-PG,5.9,Action & Adventure,1
Criminal: UK,TV Show,United Kingdom,2020-09-16,2020,TV-MA,7.4,Crime,1
White Lines,TV Show,United Kingdom,2020-05-15,2020,TV-MA,6.2,Crime,1
Connected,TV Show,United Kingdom,2020-08-02,2020,TV-14,6.6,Documentaries,1
Formula 1: Drive to Survive,TV Show,United Kingdom,2020-02-28,2020,TV-MA,8.6,Documentaries,1
Jack Whitehall: Travels with My Father,TV Show,United Kingdom,2020-09-22,2020,TV-MA,7.7,Documentaries,1
Night on Earth,TV Show,United Kingdom,2020-01-29,2020,TV-PG,8.2,Documentaries,1
Sunderland 'Til I Die,TV Show,United Kingdom,2020-04-01,2020,TV-MA,8.2,Documentaries,1
A Shaun the Sheep Movie: Farmageddon,Movie,United Kingdom,2020-02-14,2020,G,6.9,Comedy,1
After Life,TV Show,United Kingdom,2020-04-24,2020,TV-MA,8.5,Comedy,1
Feel Good,TV Show,United Kingdom,2020-03-20,2020,TV-MA,7.5,Comedy,1
Love Wedding Repeat,Movie,United Kingdom,2020-04-10,2020,TV-MA,5.5,Comedy,1
Man Like Mobeen,TV Show,United Kingdom,2020-04-01,2020,TV-MA,7.9,Comedy,1
Sex Education,TV Show,United Kingdom,2020-01-17,2020,TV-MA,8.3,Comedy,1
Shaun the Sheep: Adventures from Mossy Bottom,TV Show,United Kingdom,2020-03-17,2020,TV-Y7,8.0,Comedy,1
The Duchess,TV Show,United Kingdom,2020-09-11,2020,TV-MA,6.9,Comedy,1
The Windsors,TV Show,United Kingdom,2020-04-01,2020,TV-MA,7.0,Comedy,1
The Big Flower Fight,TV Show,United Kingdom,2020-05-18,2020,TV-PG,7.7,Reality,1
Buddi,TV Show,United Kingdom,2020-09-11,2020,TV-Y,8.2,Children,1
The Worst Witch,TV Show,United Kingdom,2020-10-01,2020,TV-G,7.3,Children,1
The Platform,TV Show,United Arab Emirates,2020-09-03,2020,TV-14,7.0,Drama,0
Puerta 7,TV Show,Argentina,2020-02-21,2020,TV-MA,5.5,Crime,1
A Life of Speed: The Juan Manuel Fangio Story,Movie,Argentina,2020-03-20,2020,TV-14,6.7,Documentaries,1
Maradona in Mexico,TV Show,Argentina,2019-11-13,2020,TV-MA,7.3,Documentaries,1
Almost Happy,TV Show,Argentina,2020-05-02,2020,TV-MA,6.5,Comedy,1
The Ghost Bride,TV Show,Taiwan,2020-01-23,2020,TV-14,5.8,Drama,1
The Victims' Game,TV Show,Taiwan,2020-04-30,2020,TV-MA,7.4,Crime,1
Fauda,TV Show,Israel,2020-04-16,2020,TV-MA,8.3,Crime,1
Sitara: Let Girls Dream,Movie,Pakistan,2020-03-08,2020,TV-PG,7.3,Drama,1
Queen Sono,TV Show,South Africa,2020-02-28,2020,TV-MA,5.8,Drama,1
Ares,TV Show,Netherlands,2020-01-17,2020,TV-MA,5.6,Drama,1
Wentworth,TV Show,Australia,2020-09-30,2020,TV-MA,8.6,Crime,1
The InBESTigators,TV Show,Australia,2020-01-10,2020,TV-Y,7.7,Comedy,1
The New Legends of Monkey,TV Show,Australia,2020-08-07,2020,TV-PG,6.5,Children,1
Into the Night,TV Show,Belgium,2020-05-01,2020,TV-MA,7.2,Drama,1
Undercover,TV Show,Belgium,2020-11-09,2020,TV-MA,7.9,Crime,1
Caliphate,TV Show,Sweden,2020-03-18,2020,TV-MA,8.2,Drama,1
Deadwind,TV Show,Finland,2020-07-01,2020,TV-MA,7.2,Crime,1
Freud,TV Show,Austria,2020-03-23,2020,TV-MA,6.6,Crime,1
Kardec,Movie,Brazil,2019-08-29,2019,TV-14,6.2,Drama,1
The Chosen One,TV Show,Brazil,2019-12-06,2019,TV-MA,5.6,Drama,1
Brotherhood,TV Show,Brazil,2019-10-25,2019,TV-MA,7.6,Crime,1
Sintonia,TV Show,Brazil,2019-08-09,2019,TV-MA,6.6,Crime,1
The Mechanism,TV Show,Brazil,2019-05-10,2019,TV-MA,8.4,Crime,1
The Edge of Democracy,Movie,Brazil,2019-06-19,2019,TV-14,7.1,Documentaries,1
Nobody's Looking,TV Show,Brazil,2019-11-22,2019,TV-MA,7.9,Comedy,0
Samantha!,TV Show,Brazil,2019-04-19,2019,TV-MA,6.5,Comedy,0
The First Temptation of Christ,Movie,Brazil,2019-12-03,2019,TV-MA,4.6,Comedy,0
Whindersson Nunes: Adult,Movie,Brazil,2019-08-15,2019,TV-MA,6.7,Comedy,0
Bayonet,Movie,Mexico,2019-03-29,2019,TV-MA,5.8,Drama,1
1994,TV Show,Mexico,2019-05-17,2019,TV-MA,8.0,Crime,1
Crime Diaries: Night Out,TV Show,Mexico,2019-05-03,2019,TV-MA,7.8,Crime,1
Crime Diaries: The Candidate,TV Show,Mexico,2019-03-22,2019,TV-MA,7.6,Crime,1
La Reina del Sur,TV Show,Mexico,2019-11-29,2019,TV-MA,8.1,Crime,1
The Club,TV Show,Mexico,2019-11-15,2019,TV-MA,6.2,Crime,1
Tijuana,TV Show,Mexico,2019-04-05,2019,TV-MA,7.1,Crime,1
A 3 Minute Hug,Movie,Mexico,2019-10-28,2019,TV-PG,6.4,Documentaries,1
Patria,Movie,Mexico,2019-01-18,2019,TV-MA,6.0,Documentaries,1
Daniel Sosa: Maleducado,Movie,Mexico,2019-06-27,2019,TV-MA,7.1,Comedy,0
Ready to Mingle,Movie,Mexico,2019-10-02,2019,TV-MA,5.9,Comedy,0
Zona Rosa,TV Show,Mexico,2019-11-26,2019,TV-MA,5.8,Comedy,0
Legend Quest: Masters of Myth,TV Show,Mexico,2019-10-05,2019,TV-Y7,8.2,Children,1
6 Underground,Movie,United States,2019-12-13,2019,R,6.1,Drama,1
A Christmas Prince: The Royal Baby,Movie,United States,2019-12-05,2019,TV-PG,5.3,Drama,1
After,Movie,United States,2019-10-09,2019,PG-13,5.4,Drama,1
All American,TV Show,United States,2020-03-17,2019,TV-14,7.7,Drama,1
American Son,Movie,United States,2019-11-01,2019,TV-MA,5.6,Drama,1
Another Life,TV Show,United States,2019-07-25,2019,TV-MA,4.9,Drama,1
Backdraft 2,Movie,United States,2019-05-14,2019,R,4.8,Drama,1
Backfire,Movie,United States,2019-04-05,2019,TV-MA,3.4,Drama,1
Badland,Movie,United States,2020-03-26,2019,TV-14,5.7,Drama,1
Beats,Movie,United States,2019-06-19,2019,TV-MA,6.4,Drama,1
